accession,gene,length,moltype,organism,created,title
NM_001440368.1,DRD2,2805,rna,Homo sapiens,2025/05/19,"Homo sapiens dopamine receptor D2 (DRD2), transcript variant 3, mRNA"
NM_001439236.1,ACP5,1898,rna,Homo sapiens,2025/04/29,"Homo sapiens acid phosphatase 5, tartrate resistant (ACP5), transcript variant 9, mRNA"
NM_001439235.1,ACP5,1791,rna,Homo sapiens,2025/04/29,"Homo sapiens acid phosphatase 5, tartrate resistant (ACP5), transcript variant 8, mRNA"
NM_001330446.2,SIRAL1,2032,rna,Homo sapiens,2016/08/29,"Homo sapiens SIR2 antiphage like 1 (SIRAL1), transcript variant 2, mRNA"
NM_001439325.1,SIRAL1,1963,rna,Homo sapiens,2025/04/29,"Homo sapiens SIR2 antiphage like 1 (SIRAL1), transcript variant 4, mRNA"
NM_001439324.1,SIRAL1,1966,rna,Homo sapiens,2025/04/29,"Homo sapiens SIR2 antiphage like 1 (SIRAL1), transcript variant 3, mRNA"
NM_001439234.1,ACP5,1725,rna,Homo sapiens,2025/04/29,"Homo sapiens acid phosphatase 5, tartrate resistant (ACP5), transcript variant 7, mRNA"
NM_001439233.1,ACP5,1727,rna,Homo sapiens,2025/04/29,"Homo sapiens acid phosphatase 5, tartrate resistant (ACP5), transcript variant 6, mRNA"
NM_019899.3,ABCC1 blood group,6159,rna,Homo sapiens,2000/08/15,"Homo sapiens ATP binding cassette subfamily C member 1 (ABCC1 blood group) (ABCC1), transcript variant 4, mRNA"
NM_019902.2,ABCC1 blood group,6357,rna,Homo sapiens,2000/08/15,"Homo sapiens ATP binding cassette subfamily C member 1 (ABCC1 blood group) (ABCC1), transcript variant 7, mRNA"
NM_019898.3,ABCC1 blood group,6336,rna,Homo sapiens,2000/08/15,"Homo sapiens ATP binding cassette subfamily C member 1 (ABCC1 blood group) (ABCC1), transcript variant 3, mRNA"
NM_001438718.1,ABCC1 blood group,6042,rna,Homo sapiens,2025/04/24,"Homo sapiens ATP binding cassette subfamily C member 1 (ABCC1 blood group) (ABCC1), transcript variant 10, mRNA"
NM_001438715.1,ABCC1 blood group,6231,rna,Homo sapiens,2025/04/24,"Homo sapiens ATP binding cassette subfamily C member 1 (ABCC1 blood group) (ABCC1), transcript variant 8, mRNA"
NM_001438719.1,ABCC1 blood group,6033,rna,Homo sapiens,2025/04/24,"Homo sapiens ATP binding cassette subfamily C member 1 (ABCC1 blood group) (ABCC1), transcript variant 11, mRNA"
NM_019901.2,ABCC1 blood group,6378,rna,Homo sapiens,2000/08/15,"Homo sapiens ATP binding cassette subfamily C member 1 (ABCC1 blood group) (ABCC1), transcript variant 6, mRNA"
NM_001438717.1,ABCC1 blood group,6093,rna,Homo sapiens,2025/04/24,"Homo sapiens ATP binding cassette subfamily C member 1 (ABCC1 blood group) (ABCC1), transcript variant 9, mRNA"
NM_001438720.1,ABCC1 blood group,6012,rna,Homo sapiens,2025/04/24,"Homo sapiens ATP binding cassette subfamily C member 1 (ABCC1 blood group) (ABCC1), transcript variant 12, mRNA"
NM_001438755.1,ABCC1 blood group,6309,rna,Homo sapiens,2025/04/24,"Homo sapiens ATP binding cassette subfamily C member 1 (ABCC1 blood group) (ABCC1), transcript variant 13, mRNA"
NM_001425120.1,DHCR7,2764,rna,Homo sapiens,2023/10/26,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 15, mRNA"
NM_001425109.1,DHCR7,2854,rna,Homo sapiens,2023/10/26,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 5, mRNA"
NM_001425110.1,DHCR7,2640,rna,Homo sapiens,2023/10/26,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 6, mRNA"
NM_001425111.1,DHCR7,2376,rna,Homo sapiens,2023/10/26,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 7, mRNA"
NM_001425112.1,DHCR7,2761,rna,Homo sapiens,2023/10/26,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 8, mRNA"
NM_001425121.1,DHCR7,1884,rna,Homo sapiens,2023/10/26,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 16, mRNA"
NM_001425117.1,DHCR7,2698,rna,Homo sapiens,2023/10/26,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 12, mRNA"
NM_001425107.1,DHCR7,2678,rna,Homo sapiens,2023/10/26,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 3, mRNA"
NM_001425114.1,DHCR7,2531,rna,Homo sapiens,2023/10/26,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 10, mRNA"
NM_001425108.1,DHCR7,2663,rna,Homo sapiens,2023/10/26,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 4, mRNA"
NM_001425118.1,DHCR7,1978,rna,Homo sapiens,2023/10/26,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 13, mRNA"
NM_001425113.1,DHCR7,2567,rna,Homo sapiens,2023/10/26,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 9, mRNA"
NM_001425116.1,DHCR7,2665,rna,Homo sapiens,2023/10/26,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 11, mRNA"
NM_001425119.1,DHCR7,2769,rna,Homo sapiens,2023/10/26,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 14, mRNA"
NM_001410736.1,IQSEC2,5987,rna,Homo sapiens,2022/08/15,"Homo sapiens IQ motif and Sec7 domain ArfGEF 2 (IQSEC2), transcript variant 4, mRNA"
NM_019862.3,ABCC1 blood group,6327,rna,Homo sapiens,2000/08/11,"Homo sapiens ATP binding cassette subfamily C member 1 (ABCC1 blood group) (ABCC1), transcript variant 2, mRNA"
NM_001394396.1,SACK1A,3887,rna,Homo sapiens,2021/04/19,"Homo sapiens scaffolding CK1 anchoring protein A (SACK1A), transcript variant 5, mRNA"
NM_152434.3,CWF19L2,3244,rna,Homo sapiens,2002/09/06,"Homo sapiens CWF19 like cell cycle control factor 2 (CWF19L2), mRNA"
NM_001330711.2,ZBTB35,3624,rna,Homo sapiens,2016/09/01,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 10, mRNA"
NM_003432.4,ZBTB35,3629,rna,Homo sapiens,2006/01/13,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 2, mRNA"
NM_001388319.1,ZBTB35,4099,rna,Homo sapiens,2020/10/23,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 17, mRNA"
NM_001330712.2,ZBTB35,3731,rna,Homo sapiens,2016/09/01,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 11, mRNA"
NM_001297548.3,ZBTB35,3691,rna,Homo sapiens,2014/07/03,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 1, mRNA"
NM_183356.4,glutamine-hydrolyzing,2663,rna,Homo sapiens,2003/09/04,"Homo sapiens asparagine synthetase (glutamine-hydrolyzing) (ASNS), transcript variant 3, mRNA"
NM_001160174.3,NAT1,2022,rna,Homo sapiens,2009/05/15,"Homo sapiens N-acetyltransferase 1 (NAT1), transcript variant 6, mRNA"
NM_001349915.2,SIRAL2,2661,rna,Homo sapiens,2017/03/29,"Homo sapiens SIR2 antiphage like 2 (SIRAL2), transcript variant 5, mRNA"
NM_207006.3,SACK1A,3700,rna,Homo sapiens,2004/04/07,"Homo sapiens scaffolding CK1 anchoring protein A (SACK1A), transcript variant 2, mRNA"
NM_016574.4,DRD2,2721,rna,Homo sapiens,2000/05/03,"Homo sapiens dopamine receptor D2 (DRD2), transcript variant 2, mRNA"
NM_001363341.2,GATB,2234,rna,Homo sapiens,2018/05/17,"Homo sapiens glutamyl-tRNA amidotransferase subunit B (GATB), transcript variant 2, mRNA; nuclear gene for mitochondrial product"
NM_033663.6,DRD3,2671,rna,Homo sapiens,2001/10/11,"Homo sapiens dopamine receptor D3 (DRD3), transcript variant e, mRNA"
NM_001291332.2,MROH7,3001,rna,Homo sapiens,2014/04/04,"Homo sapiens maestro heat like repeat family member 7 (MROH7), transcript variant 3, mRNA"
NM_001349914.2,SIRAL2,2886,rna,Homo sapiens,2017/03/29,"Homo sapiens SIR2 antiphage like 2 (SIRAL2), transcript variant 4, mRNA"
NM_001039091.3,PRPS2,2478,rna,Homo sapiens,2006/01/14,"Homo sapiens phosphoribosyl pyrophosphate synthetase 2 (PRPS2), transcript variant 1, mRNA"
NM_024793.3,IFT38,3600,rna,Homo sapiens,2001/03/23,"Homo sapiens intraflagellar transport 38 (IFT38), transcript variant 2, mRNA"
NM_001303251.2,ZBED8,2882,rna,Homo sapiens,2014/12/23,"Homo sapiens zinc finger BED-type containing 8 (ZBED8), transcript variant 1, mRNA"
NM_001349913.2,SIRAL2,2825,rna,Homo sapiens,2017/03/29,"Homo sapiens SIR2 antiphage like 2 (SIRAL2), transcript variant 3, mRNA"
NM_001160173.4,NAT1,1949,rna,Homo sapiens,2009/05/15,"Homo sapiens N-acetyltransferase 1 (NAT1), transcript variant 4, mRNA"
NM_001349916.2,SIRAL2,3249,rna,Homo sapiens,2017/03/29,"Homo sapiens SIR2 antiphage like 2 (SIRAL2), transcript variant 6, mRNA"
NM_001204402.2,PRPS1,1662,rna,Homo sapiens,2011/03/01,"Homo sapiens phosphoribosyl pyrophosphate synthetase 1 (PRPS1), transcript variant 2, mRNA"
NM_001385622.1,STARD7,2983,rna,Homo sapiens,2020/07/22,"Homo sapiens StAR related lipid transfer domain containing 7 (STARD7), transcript variant 3, mRNA; nuclear gene for mitochondrial product"
NM_020151.4,STARD7,3377,rna,Homo sapiens,2000/08/25,"Homo sapiens StAR related lipid transfer domain containing 7 (STARD7), transcript variant 1, mRNA; nuclear gene for mitochondrial product"
NM_017708.4,SACK1E,4112,rna,Homo sapiens,2000/07/04,"Homo sapiens scaffolding CK1 anchoring protein E (SACK1E), mRNA"
NM_001382752.1,MID2,6744,rna,Homo sapiens,2020/05/20,"Homo sapiens midline 2 (MID2), transcript variant 4, mRNA"
NM_001382751.1,MID2,6834,rna,Homo sapiens,2020/05/20,"Homo sapiens midline 2 (MID2), transcript variant 3, mRNA"
NM_001382665.1,GPT,1884,rna,Homo sapiens,2020/05/18,"Homo sapiens glutamic--pyruvic transaminase (GPT), transcript variant 3, mRNA"
NM_001382664.1,GPT,1725,rna,Homo sapiens,2020/05/18,"Homo sapiens glutamic--pyruvic transaminase (GPT), transcript variant 2, mRNA"
NM_002765.5,PRPS2,2469,rna,Homo sapiens,1999/03/19,"Homo sapiens phosphoribosyl pyrophosphate synthetase 2 (PRPS2), transcript variant 2, mRNA"
NM_001360.3,DHCR7,2627,rna,Homo sapiens,1999/03/19,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 1, mRNA"
NM_017912.4,HERC6,3776,rna,Homo sapiens,2000/07/04,"Homo sapiens HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 (HERC6), transcript variant 1, mRNA"
NM_001165136.2,HERC6,3668,rna,Homo sapiens,2009/09/23,"Homo sapiens HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 (HERC6), transcript variant 2, mRNA"
NM_198488.5,SACK1H,5632,rna,Homo sapiens,2003/11/15,"Homo sapiens scaffolding CK1 anchoring protein H (SACK1H), mRNA"
NM_002764.4,PRPS1,2070,rna,Homo sapiens,1999/03/19,"Homo sapiens phosphoribosyl pyrophosphate synthetase 1 (PRPS1), transcript variant 1, mRNA"
NM_000796.6,DRD3,2770,rna,Homo sapiens,1999/03/19,"Homo sapiens dopamine receptor D3 (DRD3), transcript variant a, mRNA"
NM_000381.4,MID1,6168,rna,Homo sapiens,1999/04/01,"Homo sapiens midline 1 (MID1), transcript variant 1, mRNA"
NM_001330707.2,ZBTB35,3286,rna,Homo sapiens,2016/09/01,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 6, mRNA"
NM_001288587.3,SACK1A,1620,rna,Homo sapiens,2013/12/21,"Homo sapiens scaffolding CK1 anchoring protein A (SACK1A), transcript variant 3, mRNA"
NM_001330704.2,ZBTB35,3191,rna,Homo sapiens,2016/09/01,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 3, mRNA"
NM_001321630.2,SACK1A,1241,rna,Homo sapiens,2016/03/29,"Homo sapiens scaffolding CK1 anchoring protein A (SACK1A), transcript variant 4, mRNA"
NM_001330715.2,ZBTB35,3233,rna,Homo sapiens,2016/09/01,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 14, mRNA"
NM_001330710.2,ZBTB35,3141,rna,Homo sapiens,2016/09/01,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 9, mRNA"
NM_001330708.2,ZBTB35,3281,rna,Homo sapiens,2016/09/01,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 7, mRNA"
NM_001347733.2,MID1,6492,rna,Homo sapiens,2016/12/15,"Homo sapiens midline 1 (MID1), transcript variant 10, mRNA"
NM_033290.4,MID1,6248,rna,Homo sapiens,2001/08/14,"Homo sapiens midline 1 (MID1), transcript variant 3, mRNA"
NM_001330714.2,ZBTB35,3340,rna,Homo sapiens,2016/09/01,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 13, mRNA"
NM_001330713.2,ZBTB35,3238,rna,Homo sapiens,2016/09/01,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 12, mRNA"
NM_001330717.2,ZBTB35,3532,rna,Homo sapiens,2016/09/01,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 16, mRNA"
NM_001330716.2,ZBTB35,3985,rna,Homo sapiens,2016/09/01,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 15, mRNA"
NM_033289.2,MID1,6300,rna,Homo sapiens,2010/07/17,"Homo sapiens midline 1 (MID1), transcript variant 5, mRNA"
NM_001163817.2,DHCR7,2604,rna,Homo sapiens,2009/08/05,"Homo sapiens 7-dehydrocholesterol reductase (DHCR7), transcript variant 2, mRNA"
NM_052817.3,MID2,7243,rna,Homo sapiens,2001/10/18,"Homo sapiens midline 2 (MID2), transcript variant 2, mRNA"
NM_012216.4,MID2,7333,rna,Homo sapiens,2000/02/07,"Homo sapiens midline 2 (MID2), transcript variant 1, mRNA"
NM_001330706.2,ZBTB35,3184,rna,Homo sapiens,2016/09/01,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 5, mRNA"
NM_001330709.2,ZBTB35,3039,rna,Homo sapiens,2016/09/01,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 8, mRNA"
NM_001160172.4,NAT1,2104,rna,Homo sapiens,2009/05/15,"Homo sapiens N-acetyltransferase 1 (NAT1), transcript variant 3, mRNA"
NM_001160175.4,NAT1,2067,rna,Homo sapiens,2009/05/15,"Homo sapiens N-acetyltransferase 1 (NAT1), transcript variant 7, mRNA"
NM_001111035.3,ACP5,1620,rna,Homo sapiens,2007/11/30,"Homo sapiens acid phosphatase 5, tartrate resistant (ACP5), transcript variant 1, mRNA"
NM_001193322.2,IKBKE,3127,rna,Homo sapiens,2010/07/21,"Homo sapiens inhibitor of nuclear factor kappa B kinase subunit epsilon (IKBKE), transcript variant 2, mRNA"
NM_001160171.4,NAT1,2183,rna,Homo sapiens,2009/05/15,"Homo sapiens N-acetyltransferase 1 (NAT1), transcript variant 2, mRNA"
NM_001348355.2,MYO1F,4168,rna,Homo sapiens,2017/01/27,"Homo sapiens myosin IF (MYO1F), transcript variant 2, mRNA"
NM_001322023.2,ACP5,1649,rna,Homo sapiens,2016/04/05,"Homo sapiens acid phosphatase 5, tartrate resistant (ACP5), transcript variant 5, mRNA"
NM_001160179.3,NAT1,2004,rna,Homo sapiens,2009/05/15,"Homo sapiens N-acetyltransferase 1 (NAT1), transcript variant 9, mRNA"
NM_001330375.2,HLF,5175,rna,Homo sapiens,2016/08/29,"Homo sapiens HLF transcription factor, PAR bZIP family member (HLF), transcript variant 2, mRNA"
NM_001178075.2,glutamine-hydrolyzing,2311,rna,Homo sapiens,2010/05/13,"Homo sapiens asparagine synthetase (glutamine-hydrolyzing) (ASNS), transcript variant 4, mRNA"
NM_015075.2,IQSEC2,5208,rna,Homo sapiens,2004/10/06,"Homo sapiens IQ motif and Sec7 domain ArfGEF 2 (IQSEC2), transcript variant 2, mRNA"
NM_001363616.2,ZC3H11D,1594,rna,Homo sapiens,2018/05/24,"Homo sapiens zinc finger CCCH-type containing 11D (ZC3H11D), transcript variant 2, mRNA"
NM_001303404.2,CWF19L1,2471,rna,Homo sapiens,2014/12/30,"Homo sapiens CWF19 like cell cycle control factor 1 (CWF19L1), transcript variant 2, mRNA"
NM_001303405.2,CWF19L1,2636,rna,Homo sapiens,2014/12/30,"Homo sapiens CWF19 like cell cycle control factor 1 (CWF19L1), transcript variant 3, mRNA"
NM_001204889.2,ALDH2,9420,rna,Homo sapiens,2011/03/11,"Homo sapiens aldehyde dehydrogenase 2 family member (ALDH2), transcript variant 2, mRNA; nuclear gene for mitochondrial product"
NM_001178076.2,glutamine-hydrolyzing,2077,rna,Homo sapiens,2010/05/13,"Homo sapiens asparagine synthetase (glutamine-hydrolyzing) (ASNS), transcript variant 5, mRNA"
NM_052828.3,TRIM10,3286,rna,Homo sapiens,2001/10/19,"Homo sapiens tripartite motif containing 10 (TRIM10), transcript variant 2, mRNA"
NM_001303407.2,CWF19L1,2360,rna,Homo sapiens,2014/12/30,"Homo sapiens CWF19 like cell cycle control factor 1 (CWF19L1), transcript variant 5, mRNA"
NM_001193321.2,IKBKE,3121,rna,Homo sapiens,2010/07/20,"Homo sapiens inhibitor of nuclear factor kappa B kinase subunit epsilon (IKBKE), transcript variant 3, mRNA"
NM_001111034.3,ACP5,1571,rna,Homo sapiens,2007/11/30,"Homo sapiens acid phosphatase 5, tartrate resistant (ACP5), transcript variant 2, mRNA"
NM_001303406.2,CWF19L1,2325,rna,Homo sapiens,2014/12/30,"Homo sapiens CWF19 like cell cycle control factor 1 (CWF19L1), transcript variant 4, mRNA"
NM_001291962.2,NAT1,2122,rna,Homo sapiens,2014/05/14,"Homo sapiens N-acetyltransferase 1 (NAT1), transcript variant 10, mRNA"
NM_001243197.2,IQSEC2,922,rna,Homo sapiens,2011/08/02,"Homo sapiens IQ motif and Sec7 domain ArfGEF 2 (IQSEC2), transcript variant 3, mRNA"
NM_001160176.4,NAT1,1917,rna,Homo sapiens,2009/05/15,"Homo sapiens N-acetyltransferase 1 (NAT1), transcript variant 8, mRNA"
NM_001111036.3,ACP5,1547,rna,Homo sapiens,2007/11/30,"Homo sapiens acid phosphatase 5, tartrate resistant (ACP5), transcript variant 3, mRNA"
NM_001352496.2,glutamine-hydrolyzing,2786,rna,Homo sapiens,2017/06/14,"Homo sapiens asparagine synthetase (glutamine-hydrolyzing) (ASNS), transcript variant 7, mRNA"
NM_001160170.4,NAT1,2333,rna,Homo sapiens,2009/05/15,"Homo sapiens N-acetyltransferase 1 (NAT1), transcript variant 1, mRNA"
NM_001330454.2,IFT38,4140,rna,Homo sapiens,2016/08/25,"Homo sapiens intraflagellar transport 38 (IFT38), transcript variant 3, mRNA"
NM_138435.4,SACK1F,15561,rna,Homo sapiens,2002/04/04,"Homo sapiens scaffolding CK1 anchoring protein F (SACK1F), mRNA"
NM_012335.4,MYO1F,4180,rna,Homo sapiens,2002/10/24,"Homo sapiens myosin IF (MYO1F), transcript variant 1, mRNA"
NM_000797.4,DRD4,1399,rna,Homo sapiens,1999/03/19,"Homo sapiens dopamine receptor D4 (DRD4), mRNA"
NM_000798.5,DRD5,2376,rna,Homo sapiens,1999/03/19,"Homo sapiens dopamine receptor D5 (DRD5), mRNA"
NM_030919.3,SACK1D,2370,rna,Homo sapiens,2002/10/24,"Homo sapiens scaffolding CK1 anchoring protein D (SACK1D), mRNA"
NM_015492.5,PRMT2IP,4425,rna,Homo sapiens,2000/04/26,"Homo sapiens PRMT2 interacting protein (PRMT2IP), mRNA"
NM_001086.3,AADAC,1563,rna,Homo sapiens,1999/04/01,"Homo sapiens arylacetamide deacetylase (AADAC), mRNA"
NM_178468.6,SACK1C,3169,rna,Homo sapiens,2003/05/08,"Homo sapiens scaffolding CK1 anchoring protein C (SACK1C), mRNA"
NM_001145191.2,ZBED11,4287,rna,Homo sapiens,2009/02/14,"Homo sapiens zinc finger BED-type containing 11 (ZBED11), mRNA"
NM_018294.6,CWF19L1,2591,rna,Homo sapiens,2000/07/04,"Homo sapiens CWF19 like cell cycle control factor 1 (CWF19L1), transcript variant 1, mRNA"
NM_002022.3,FMO4,2303,rna,Homo sapiens,1999/03/19,"Homo sapiens flavin containing dimethylaniline monoxygenase 4 (FMO4), mRNA"
NM_000795.4,DRD2,2808,rna,Homo sapiens,1999/03/19,"Homo sapiens dopamine receptor D2 (DRD2), transcript variant 1, mRNA"
NM_153613.3,LPCAT4,2165,rna,Homo sapiens,2002/10/15,"Homo sapiens lysophosphatidylcholine acyltransferase 4 (LPCAT4), mRNA"
NM_206967.3,CLMB,911,rna,Homo sapiens,2004/06/02,"Homo sapiens calcimembrin (CLMB), transcript variant 1, mRNA"
NM_014002.4,IKBKE,3240,rna,Homo sapiens,2000/04/22,"Homo sapiens inhibitor of nuclear factor kappa B kinase subunit epsilon (IKBKE), transcript variant 1, mRNA"
NM_175886.3,PRPS1L1,1077,rna,Homo sapiens,2003/02/25,"Homo sapiens phosphoribosyl pyrophosphate synthetase 1 like 1 (PRPS1L1), mRNA"
NM_004564.3,GATB,2369,rna,Homo sapiens,1999/05/07,"Homo sapiens glutamyl-tRNA amidotransferase subunit B (GATB), transcript variant 1, mRNA; nuclear gene for mitochondrial product"
NM_018292.5,QRSL1,4106,rna,Homo sapiens,2000/07/04,"Homo sapiens glutaminyl-tRNA amidotransferase subunit QRSL1 (QRSL1), mRNA; nuclear gene for mitochondrial product"
NM_152589.3,ZC3H11D,1711,rna,Homo sapiens,2002/09/06,"Homo sapiens zinc finger CCCH-type containing 11D (ZC3H11D), transcript variant 1, mRNA"
NM_033396.3,CNOT12,5820,rna,Homo sapiens,2002/04/23,"Homo sapiens CCR4-NOT transcription complex subunit 12 (CNOT12), mRNA"
NM_004134.7,Hsp70,4404,rna,Homo sapiens,1999/05/07,"Homo sapiens heat shock protein family A (Hsp70) member 9 (HSPA9), mRNA; nuclear gene for mitochondrial product"
NM_002126.5,HLF,5721,rna,Homo sapiens,1999/03/19,"Homo sapiens HLF transcription factor, PAR bZIP family member (HLF), transcript variant 1, mRNA"
NM_024556.4,SIRAL1,2016,rna,Homo sapiens,2001/03/18,"Homo sapiens SIR2 antiphage like 1 (SIRAL1), transcript variant 1, mRNA"
NM_001010872.3,SACK1B,6244,rna,Homo sapiens,2005/03/22,"Homo sapiens scaffolding CK1 anchoring protein B (SACK1B), mRNA"
NM_004996.4,ABCC1 blood group,6504,rna,Homo sapiens,1999/05/14,"Homo sapiens ATP binding cassette subfamily C member 1 (ABCC1 blood group) (ABCC1), transcript variant 1, mRNA"
NM_001111125.3,IQSEC2,6037,rna,Homo sapiens,2007/12/08,"Homo sapiens IQ motif and Sec7 domain ArfGEF 2 (IQSEC2), transcript variant 1, mRNA"
NM_001039464.4,MROH7,4343,rna,Homo sapiens,2006/02/08,"Homo sapiens maestro heat like repeat family member 7 (MROH7), transcript variant 1, mRNA"
NM_015041.3,IFT38,4083,rna,Homo sapiens,2004/09/19,"Homo sapiens intraflagellar transport 38 (IFT38), transcript variant 1, mRNA"
NM_176818.3,GATC,4238,rna,Homo sapiens,2004/08/05,"Homo sapiens glutamyl-tRNA amidotransferase subunit C (GATC), transcript variant 1, mRNA; nuclear gene for mitochondrial product"
NM_145111.4,ZBED8L,2468,rna,Homo sapiens,2002/06/20,"Homo sapiens ZBED8 like (ZBED8L), mRNA"
NM_001159.4,AOX1,4928,rna,Homo sapiens,1999/03/19,"Homo sapiens aldehyde oxidase 1 (AOX1), mRNA"
NM_005309.3,GPT,1828,rna,Homo sapiens,1999/05/24,"Homo sapiens glutamic--pyruvic transaminase (GPT), mRNA"
NM_006205.3,PDE6H,727,rna,Homo sapiens,1999/07/13,"Homo sapiens phosphodiesterase 6H (PDE6H), mRNA"
NM_022090.5,ZBED8,2808,rna,Homo sapiens,2000/12/05,"Homo sapiens zinc finger BED-type containing 8 (ZBED8), transcript variant 2, mRNA"
NM_000794.5,DRD1,4031,rna,Homo sapiens,1999/03/19,"Homo sapiens dopamine receptor D1 (DRD1), mRNA"
NM_000662.8,NAT1,1799,rna,Homo sapiens,1999/03/19,"Homo sapiens N-acetyltransferase 1 (NAT1), transcript variant 5, mRNA"
NM_017911.4,SIRAL2,2883,rna,Homo sapiens,2000/07/04,"Homo sapiens SIR2 antiphage like 2 (SIRAL2), transcript variant 2, mRNA"
NM_006778.4,TRIM10,3825,rna,Homo sapiens,1999/08/24,"Homo sapiens tripartite motif containing 10 (TRIM10), transcript variant 1, mRNA"
NM_001673.5,glutamine-hydrolyzing,2385,rna,Homo sapiens,1999/03/19,"Homo sapiens asparagine synthetase (glutamine-hydrolyzing) (ASNS), transcript variant 2, mRNA"
NM_015650.4,IFT54,4199,rna,Homo sapiens,2000/04/26,"Homo sapiens intraflagellar transport 54 (IFT54), transcript variant 1, mRNA"
NM_000690.4,ALDH2,9561,rna,Homo sapiens,1999/03/19,"Homo sapiens aldehyde dehydrogenase 2 family member (ALDH2), transcript variant 1, mRNA; nuclear gene for mitochondrial product"
NM_001039999.3,SACK1G,5226,rna,Homo sapiens,2006/03/29,"Homo sapiens scaffolding CK1 anchoring protein G (SACK1G), mRNA"
