accession,gc
NM_001407324.1,0.5537
NM_001407322.1,0.5249
NM_001323582.2,0.4764
NM_001407329.1,0.5267
NM_001407302.1,0.4225
NM_001407332.1,0.5594
NM_001407313.1,0.4399
NM_001281723.4,0.4716
NM_001407333.1,0.4481
NM_001407335.1,0.5257
NM_001407314.1,0.4462
NM_001407331.1,0.507
NM_001407306.1,0.4277
NM_001407342.1,0.5232
NM_001407336.1,0.4495
NM_001406645.1,0.4764
NM_001406654.1,0.4773
NM_001406649.1,0.4747
NM_001406652.1,0.4777
NM_001406656.1,0.4772
NM_001407277.1,0.4938
NM_001407280.1,0.4925
NM_001407275.1,0.494
NM_001407274.1,0.4943
NM_001407278.1,0.4933
NM_001407255.1,0.67
NM_001407185.1,0.5665
NM_001407186.1,0.5907
NM_001407243.1,0.6268
NM_001407187.1,0.6274
NM_001407241.1,0.6235
NM_001407244.1,0.6255
NM_001407246.1,0.6301
NM_001406819.1,0.4352
NM_001406822.1,0.435
NM_001407143.1,0.6086
NM_001407142.1,0.6039
NM_001406827.1,0.4319
NM_001035512.3,0.4685
NM_001406825.1,0.4379
NM_001406821.1,0.4351
NM_001406829.1,0.4352
NM_001407137.1,0.4735
NM_001407116.1,0.466
NM_001406824.1,0.4336
NM_001406820.1,0.4307
NM_001407130.1,0.4703
NM_001407146.1,0.6095
NM_001024847.3,0.4704
NM_001407168.1,0.3284
NM_001406826.1,0.4453
NM_001407133.1,0.4688
NM_001407120.1,0.4748
NM_001406828.1,0.4306
NM_001407147.1,0.6124
NM_001407117.1,0.4651
NM_001407148.1,0.6074
NM_001407151.1,0.602
NM_001407152.1,0.6062
NM_001407132.1,0.4518
NM_001278172.3,0.4635
NM_001407069.1,0.6041
NM_001406636.1,0.4337
NM_001406877.1,0.4777
NM_001407073.1,0.6035
NM_001406892.1,0.4714
NM_001406871.1,0.4748
NM_001406915.1,0.6351
NM_001406891.1,0.4726
NM_001406876.1,0.4704
NM_001407083.1,0.6138
NM_001407080.1,0.613
NM_001406898.1,0.4788
NM_001407066.1,0.5334
NM_001407085.1,0.6057
NM_001406895.1,0.4716
